0000000606040000 00E0808000000000 00000000C080C000 0000784000000000 7018000000000000 0000001818180000 0C04060000000000 0000002020602000 
0000006060400000 00000004041C0000 0000000000A0E000 0C08080800000000 0004060202000000 7070000000000000 0000301018000000 0080C08080000000 
0000006060400000 00000010101C0000 0000000000A0E000 00C0808080000000 7018000000000000 0000000E0E000000 0C04060000000000 0020780000000000 
0018181000000000 1C04040000000000 0000000000A0E000 6020202000000000 00000000061C0000 00C0C0C000000000 0000020E08000000 00000000F0400000 
0018181000000000 1C04040000000000 0000000000A0E000 6020202000000000 0000020206040000 00C0C0C000000000 0000000C08180000 00000000F0400000 
00C0C08000000000 04041C0000000000 0030203000000000 7808000000000000 00000000061C0000 0000000000E0E000 0000020E08000000 00000040F0000000 
00C0C08000000000 04041C0000000000 0030203000000000 7808000000000000 0000020206040000 0000000000E0E000 0000000C08180000 00000040F0000000 
0C0C080000000000 000000008080E000 0000060206000000 0080F00000000000 00000000301C0000 7070000000000000 000000C040600000 0000003C08000000 
1818100000000000 000000002020E000 6020600000000000 00C0808080000000 0000020206040000 0000001818180000 0000006040C00000 04040C0400000000 
1818100000000000 0000003808080000 6020600000000000 00C0808080000000 0000020206040000 0000000000E0E000 0000004070100000 04040C0400000000 
6060400000000000 008080E000000000 1C14000000000000 00000010F0000000 00000000061C0000 0000000000E0E000 0000020E08000000 00083C0000000000 
6060400000000000 008080E000000000 1C14000000000000 00000010F0000000 0000020206040000 0000000000E0E000 0000000C08180000 00083C0000000000 
